time: <class 'datetime.datetime'>index, node loc, heuristic
309, (213.00140047 113.14453337   1.57079633), 343.36186718065335
310, (213.00140047 113.66813215   1.57079633), 342.8891851687067
311, (213.00140047 114.19173092   1.57079633), 343.412783944305
312, (213.00140047 114.7153297    1.57079633), 342.94018320785597
313, (213.00140047 115.23892847   1.57079633), 343.4637819834542
314, (213.00140047 116.02432664   1.46607657), 343.25306459858956
315, (213.05613145 116.54505708   1.46607657), 342.78063459763615
316, (213.11086242 117.06578753   1.46607657), 343.3042333732344
317, (213.22032437 118.10724842   1.46607657), 343.35549185386867
318, (213.32978632 119.14870932   1.46607657), 343.40684310829795
319, (213.43924828 120.19017021   1.46607657), 343.45829034552054
320, (213.54871023 121.2316311    1.46607657), 343.50983692392634
321, (213.63080669 122.01272677   1.36135682), 343.2996869722738
322, (213.8485313  123.03704055   1.36135682), 343.3514429502863
323, (214.06625592 124.06135432   1.36135682), 343.4033093319349
324, (214.28398053 125.08566809   1.36135682), 343.5596534301843
325, (214.50170514 126.10998186   1.36135682), 343.6130429884591
326, (214.71942976 127.13429563   1.36135682), 343.6665878168776
327, (214.93715437 128.15860941   1.36135682), 343.7202938103517
328, (215.15487898 129.18292318   1.36135682), 343.77416716499107
329, (215.3726036  130.20723695   1.36135682), 343.95224652987764
330, (215.59032821 131.23155072   1.36135682), 344.0081022462348
331, (215.80805282 132.25586449   1.36135682), 344.06418885570145
332, (215.97134628 133.02409982   1.46607657), 343.85871628787567
333, (216.08080823 134.06556072   1.46607657), 343.9152931414626
334, (216.19027019 135.10702161   1.46607657), 344.11842309785845
335, (216.29973214 136.1484825    1.46607657), 344.1775758145383
336, (216.40919409 137.1899434    1.46607657), 344.23706869176107
337, (216.51865604 138.23140429   1.46607657), 344.29691636188204
338, (216.6007525  139.01249996   1.36135682), 344.0953349151732
339, (216.81847711 140.03681373   1.36135682), 344.1559395125784
340, (217.03620173 141.06112751   1.36135682), 344.2169481258926
341, (217.25392634 142.08544128   1.36135682), 344.45522916608996
342, (217.47165096 143.10975505   1.36135682), 344.5198193121836
343, (217.68937557 144.13406882   1.36135682), 344.5849554994721
344, (217.90710018 145.15838259   1.36135682), 344.6506636047591
345, (218.1248248  146.18269637   1.36135682), 344.71697114959085
346, (218.34254941 147.20701014   1.36135682), 344.9911644056469
347, (218.56027402 148.23132391   1.36135682), 345.0621764957249
348, (218.77799864 149.25563768   1.36135682), 345.133993569041
349, (218.9412921  150.02387301   1.46607657), 344.9448572106839
350, (219.05075405 151.06533391   1.46607657), 345.0184099584404
351, (219.160216   152.1067948    1.46607657), 345.33542562978323
352, (219.26967795 153.14825569   1.46607657), 345.41520075171735
353, (219.3791399  154.18971659   1.46607657), 345.496166079596
354, (219.48860185 155.23117748   1.46607657), 345.5783868481569
355, (219.57069831 156.01227315   1.57079633), 345.40013366583366
356, (219.57069831 157.0594707    1.57079633), 345.4850804990052
357, (219.57069831 158.10666825   1.57079633), 345.57150882523814
358, (219.57069831 159.1538658    1.57079633), 345.65950571739165
359, (219.57069831 160.20106335   1.57079633), 345.7491650483165
360, (219.57069831 161.24826091   1.57079633), 345.8405881506206
361, (219.57069831 162.03365907   1.46607657), 345.6720851646861
362, (219.68016026 163.07511996   1.46607657), 345.76737341180194
363, (219.78962221 164.11658086   1.46607657), 345.8647819869758
364, (219.89908417 165.15804175   1.46607657), 345.964450340684
365, (219.98118063 165.93913742   1.57079633), 345.80473066004674
366, (219.98118063 166.4627362    1.57079633), 346.32832943564506
367, (219.98118063 167.24813436   1.46607657), 346.17118610840964
368, (220.06327709 168.02923003   1.57079633), 346.016799024239
369, (220.06327709 169.07642758   1.57079633), 346.49201266815663
370, (220.06327709 170.12362513   1.57079633), 346.61428066399895
371, (220.06327709 171.17082268   1.57079633), 346.7403437445151
372, (220.06327709 172.21802023   1.57079633), 346.8704841185162
373, (220.06327709 173.0034184    1.67551608), 346.7432118505733
374, (219.98118063 173.78451407   1.78023584), 346.6206661873316
375, (219.87231832 174.29667095   1.78023584), 346.7315692619313
376, (219.70902486 175.06490628   1.88495559), 346.60317173557274
377, (219.38542302 176.06085034   1.88495559), 346.7415572978731
378, (219.06182118 177.05679439   1.88495559), 346.8853485107852
379, (218.73821934 178.05273845   1.88495559), 347.0350133707696
380, (218.4146175  179.0486825    1.88495559), 346.74390736451255
381, (218.09101566 180.04462656   1.88495559), 346.893340495663
382, (217.92921474 180.54259858   1.88495559), 346.5260611709748
383, (217.76741382 181.04057061   1.88495559), 346.60250358708646
384, (217.44381198 182.03651467   1.88495559), 346.7516676205564
385, (217.12021014 183.03245872   1.88495559), 346.9082929839012
386, (216.95840922 183.53043075   1.88495559), 346.54957638963714
387, (216.7966083  184.02840278   1.88495559), 346.6099947454498
388, (216.47300646 185.02434683   1.88495559), 346.7669837264081
389, (216.14940462 186.02029089   1.88495559), 346.9330665163719
390, (215.9876037  186.51826291   1.88495559), 346.58573927104374
391, (215.82580278 187.01623494   1.88495559), 346.6257502001258
392, (215.50220094 188.012179     1.88495559), 346.79329747971246
393, (215.1785991  189.00812305   1.88495559), 346.9723176722511
394, (214.93589772 189.75508109   1.98967535), 346.90259517644574
395, (214.72293092 190.23341238   1.98967535), 346.9157914386167
396, (214.2969973  191.19007494   1.98967535), 347.09828492366336
397, (213.97754709 191.90757187   2.0943951 ), 347.03414437961817
398, (213.7157477  192.36102171   2.0943951 ), 347.0389416747203
399, (213.32304862 193.04119647   2.19911486), 346.96416186399443
400, (212.86140316 193.67659693   2.30383461), 346.90742760677415
401, (212.51104719 194.06570665   2.30383461), 346.9012652699663
402, (211.98551324 194.64937123   2.19911486), 346.8326242543193
403, (211.67774961 195.07297154   2.19911486), 346.84778230565394
